id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,last_review,calculated_host_listings_count,availability_365
16536560,BBA038 STUDIO INLAND APARTMENT,9190357,Mondosol,,Gzira,35.90582,14.49664,Entire home/apt,66,1,6,2,2019-12-26,13,6
34308745,Giada House Gzira,259011771,Tiziana,,Gzira,35.90428,14.49301,Entire home/apt,45,3,3,0,2019-07-31,6,364
33921432,"Nicely Maisonette, 1 bed apartment",256161080,Francois,,Gzira,35.90629,14.49586,Entire home/apt,66,3,13,1,2019-12-28,1,0
37512365,Centrally located high end Penthouse .,283141479,Michael,,Gzira,35.90636,14.49436,Entire home/apt,300,3,2,0,2019-08-29,1,60
42599276,LET ME HOST -PALACE AZZOPARDI - APP N.3,125238922,Med Malta,,Gzira,35.90437,14.49094,Entire home/apt,73,1,0,0,,40,273
10506922,FULLY EQUIPPED Modern 3 Bedroom apartment,54172987,Warren,,Gzira,35.90764,14.49169,Entire home/apt,90,3,0,0,,2,364
38687891,Room Sharing up the Road from Sliema SeaFront,27803372,Jaycee,,Gzira,35.90694,14.49736,Shared room,21,3,0,0,,18,364
44688400,Walter's B&B,6819852,Mark,,Gzira,35.90573,14.49518,Shared room,14,2,0,0,,5,364
17128597,"New, highly finished, Seaside apt in Gzira (Apt 1)",90571279,Chris & Vanessa,,Gzira,35.90619,14.49522,Entire home/apt,74,2,77,9,2020-03-12,18,178
40416371,"Minimalist Modern Apartment, 5 Mins from Seafront",93952322,Thomas,,Gzira,35.90697,14.4938,Entire home/apt,47,4,4,4,2020-09-27,22,365
19739824,Sunny Gzira 2-bedroom Penthouse,1774894,Short Lets Malta,,Gzira,35.90707,14.49477,Entire home/apt,100,7,4,0,2019-08-12,132,324
19446426,Few minutes walk of The Strand 1-bedroom Apt,1774894,Short Lets Malta,,Gzira,35.90555,14.49106,Entire home/apt,50,7,22,0,2019-09-15,132,270
39246496,GZR0004-03,13789530,Matthew & Darren,,Gzira,35.90698,14.49376,Entire home/apt,23,2,2,2,2020-08-27,10,20
28008659,Pilgrim's Rest Penthouse,166913290,Henry,,Gzira,35.9046,14.49489,Entire home/apt,75,2,16,3,2020-08-13,3,355
22885733,Two bedroom apartment,106028546,Andrea,,Gzira,35.906,14.49512,Entire home/apt,138,1,0,0,,7,212
45744547,GZIRA 3 bedroom Apartment,130878836,Luca,,Gzira,35.9038,14.49461,Entire home/apt,200,4,0,0,,3,362
27942147,Apartment with two bedrooms self catering.,210741707,Mary Ann,,Gzira,35.90491,14.493,Entire home/apt,50,2,22,1,2020-01-04,1,365
24283527,Nicely furnished 1 bedroom apartment in Gzira,90571279,Chris & Vanessa,,Gzira,35.9081,14.4969,Entire home/apt,41,2,44,10,2020-09-23,18,195
4702379,"Luxury,Malta MOST CENTRAL ACCOMMODATION",22699311,James,,Gzira,35.90494,14.49267,Entire home/apt,47,2,57,11,2020-09-03,6,130
21774400,Off the Strand Gzira 3-bedroom Apartment,1774894,Short Lets Malta,,Gzira,35.90608,14.49517,Entire home/apt,100,7,4,0,2019-08-14,132,360
37311937,Spacious double room with private balcony,208069940,Vanessa,,Gzira,35.90662,14.49134,Private room,28,30,5,0,2019-10-04,1,0
